date,site,observer,measurement_type,plot,monolayer,plot_location,bed_depth,mussel_length,top,under,entered_by,checked_by,notes
2016-06-27,North Beach,LA/AM,Mussel depth,3,NA,5,80,NA,NA,NA,NA,AG,NA
2016-06-27,North Beach,LA/AM,Mussel length,3,NA,NA,NA,40,1,NA,NA,AG,NA
2016-06-27,North Beach,LA/AM,Mussel length,3,NA,NA,NA,50,4,NA,NA,AG,NA
2016-06-27,North Beach,LA/AM,Mussel length,3,NA,NA,NA,60,3,NA,NA,AG,NA
2016-06-27,North Beach,LA/AM,Mussel length,3,NA,NA,NA,70,1,NA,NA,AG,NA
2016-06-27,North Beach,LA/AM,Mussel length,3,NA,NA,NA,80,1,NA,NA,AG,NA
2016-06-27,North Beach,LA/AM,Mussel depth,4,NA,1,110,NA,NA,NA,NA,AG,NA
2016-06-27,North Beach,LA/AM,Mussel depth,4,NA,2,100,NA,NA,NA,NA,AG,NA
2016-06-27,North Beach,LA/AM,Mussel depth,4,NA,3,70,NA,NA,NA,NA,AG,NA
2016-06-27,North Beach,LA/AM,Mussel depth,4,NA,4,90,NA,NA,NA,NA,AG,NA
2016-06-27,North Beach,LA/AM,Mussel depth,4,NA,5,70,NA,NA,NA,NA,AG,NA
2016-06-27,North Beach,LA/AM,Mussel length,4,NA,NA,NA,30,1,NA,NA,AG,NA
2016-06-27,North Beach,LA/AM,Mussel length,4,NA,NA,NA,40,2,NA,NA,AG,NA
2016-06-27,North Beach,LA/AM,Mussel length,4,NA,NA,NA,60,5,NA,NA,AG,NA
2016-06-27,North Beach,LA/AM,Mussel length,4,NA,NA,NA,70,2,NA,NA,AG,NA
2016-06-27,North Beach,LA/AM,Mussel depth,5,NA,1,60,NA,NA,NA,NA,AG,NA
2016-06-27,North Beach,LA/AM,Mussel depth,5,NA,2,70,NA,NA,NA,NA,AG,NA
2016-06-27,North Beach,LA/AM,Mussel depth,5,NA,3,80,NA,NA,NA,NA,AG,NA
2016-06-27,North Beach,LA/AM,Mussel depth,5,NA,4,70,NA,NA,NA,NA,AG,NA
2016-06-27,North Beach,LA/AM,Mussel depth,5,NA,5,90,NA,NA,NA,NA,AG,NA
2016-06-27,North Beach,LA/AM,Mussel length,5,NA,NA,NA,10,1,NA,NA,AG,NA
2016-06-27,North Beach,LA/AM,Mussel length,5,NA,NA,NA,20,1,NA,NA,AG,NA
2016-06-27,North Beach,LA/AM,Mussel length,5,NA,NA,NA,30,2,NA,NA,AG,NA
2016-06-27,North Beach,LA/AM,Mussel length,5,NA,NA,NA,40,1,NA,NA,AG,NA
2016-06-27,North Beach,LA/AM,Mussel length,5,NA,NA,NA,50,2,NA,NA,AG,NA
2016-06-27,North Beach,LA/AM,Mussel length,5,NA,NA,NA,60,2,NA,NA,AG,NA
2016-06-27,North Beach,LA/AM,Mussel length,5,NA,NA,NA,70,1,NA,NA,AG,NA
2016-09-03,North Beach,AM/AM,Mussel depth,1,NA,1,70,NA,NA,NA,NA,AG,*missing lower blots
2016-09-03,North Beach,AM/AM,Mussel depth,1,NA,2,30,NA,NA,NA,NA,AG,NA
2016-09-03,North Beach,AM/AM,Mussel depth,1,NA,3,60,NA,NA,NA,NA,AG,NA
2016-09-03,North Beach,AM/AM,Mussel depth,1,NA,4,20,NA,NA,NA,NA,AG,NA
2016-09-03,North Beach,AM/AM,Mussel depth,1,NA,5,40,NA,NA,NA,NA,AG,NA
2016-09-03,North Beach,AM/AM,Mussel length,1,NA,NA,NA,20,3,NA,NA,AG,NA
2016-09-03,North Beach,AM/AM,Mussel length,1,NA,NA,NA,30,4,NA,NA,AG,NA
2016-09-03,North Beach,AM/AM,Mussel length,1,NA,NA,NA,40,2,NA,NA,AG,NA
2016-09-03,North Beach,AM/AM,Mussel length,1,NA,NA,NA,60,1,NA,NA,AG,NA
2016-09-03,North Beach,AM/AM,Mussel depth,2,NA,1,100,NA,NA,NA,NA,AG,*missing lower blots
2016-09-03,North Beach,AM/AM,Mussel depth,2,NA,2,120,NA,NA,NA,NA,AG,NA
2016-09-03,North Beach,AM/AM,Mussel depth,2,NA,3,140,NA,NA,NA,NA,AG,NA
2016-09-03,North Beach,AM/AM,Mussel depth,2,NA,4,130,NA,NA,NA,NA,AG,NA
2016-09-03,North Beach,AM/AM,Mussel depth,2,NA,5,40,NA,NA,NA,NA,AG,NA
2016-09-03,North Beach,AM/AM,Mussel length,2,NA,NA,NA,40,1,NA,NA,AG,NA
2016-09-03,North Beach,AM/AM,Mussel length,2,NA,NA,NA,60,4,NA,NA,AG,NA
2016-09-03,North Beach,AM/AM,Mussel length,2,NA,NA,NA,70,2,NA,NA,AG,NA
2016-09-03,North Beach,AM/AM,Mussel length,2,NA,NA,NA,80,2,NA,NA,AG,NA
2016-09-03,North Beach,AM/AM,Mussel length,2,NA,NA,NA,90,1,NA,NA,AG,NA
2016-09-03,North Beach,AM/AM,Mussel depth,3,NA,1,70,NA,NA,NA,NA,AG,NA
2016-09-03,North Beach,AM/AM,Mussel depth,3,NA,2,50,NA,NA,NA,NA,AG,NA
2016-09-03,North Beach,AM/AM,Mussel depth,3,NA,3,70,NA,NA,NA,NA,AG,NA
2016-09-03,North Beach,AM/AM,Mussel depth,3,NA,4,80,NA,NA,NA,NA,AG,NA
2016-09-03,North Beach,AM/AM,Mussel depth,3,NA,5,80,NA,NA,NA,NA,AG,NA
2016-09-03,North Beach,AM/AM,Mussel length,3,NA,NA,NA,50,1,NA,NA,AG,NA
2016-09-03,North Beach,AM/AM,Mussel length,3,NA,NA,NA,60,5,NA,NA,AG,NA
2016-09-03,North Beach,AM/AM,Mussel length,3,NA,NA,NA,70,3,NA,NA,AG,NA
2016-09-03,North Beach,AM/AM,Mussel length,3,NA,NA,NA,80,1,NA,NA,AG,NA
2016-09-03,North Beach,AM/AM,Mussel depth,4,NA,1,60,NA,NA,NA,NA,AG,NA
2016-09-03,North Beach,AM/AM,Mussel depth,4,NA,2,80,NA,NA,NA,NA,AG,NA
2016-09-03,North Beach,AM/AM,Mussel depth,4,NA,3,70,NA,NA,NA,NA,AG,NA
2016-09-03,North Beach,AM/AM,Mussel depth,4,NA,4,70,NA,NA,NA,NA,AG,NA
2016-09-03,North Beach,AM/AM,Mussel depth,4,NA,5,50,NA,NA,NA,NA,AG,NA
2016-09-03,North Beach,AM/AM,Mussel length,4,NA,NA,NA,30,1,NA,NA,AG,NA
2016-09-03,North Beach,AM/AM,Mussel length,4,NA,NA,NA,40,1,NA,NA,AG,NA
2016-09-03,North Beach,AM/AM,Mussel length,4,NA,NA,NA,50,1,NA,NA,AG,NA
2016-09-03,North Beach,AM/AM,Mussel length,4,NA,NA,NA,60,4,NA,NA,AG,NA
2016-09-03,North Beach,AM/AM,Mussel length,4,NA,NA,NA,70,3,NA,NA,AG,NA
2016-09-03,North Beach,AM/AM,Mussel depth,5,NA,1,50,NA,NA,NA,NA,AG,NA
2016-09-03,North Beach,AM/AM,Mussel depth,5,NA,2,40,NA,NA,NA,NA,AG,NA
2016-09-03,North Beach,AM/AM,Mussel depth,5,NA,3,80,NA,NA,NA,NA,AG,NA
2016-09-03,North Beach,AM/AM,Mussel depth,5,NA,4,80,NA,NA,NA,NA,AG,NA
2016-09-03,North Beach,AM/AM,Mussel depth,5,NA,5,80,NA,NA,NA,NA,AG,NA
2016-09-03,North Beach,AM/AM,Mussel length,5,NA,NA,NA,30,1,NA,NA,AG,NA
2016-09-03,North Beach,AM/AM,Mussel length,5,NA,NA,NA,40,3,NA,NA,AG,NA
2016-09-03,North Beach,AM/AM,Mussel length,5,NA,NA,NA,50,4,NA,NA,AG,NA
2016-09-03,North Beach,AM/AM,Mussel length,5,NA,NA,NA,60,2,NA,NA,AG,NA
2016-09-01,West Beach,AM/OP,Mussel depth,1,NA,1,120,NA,NA,NA,NA,AG,NA
2016-09-01,West Beach,AM/OP,Mussel depth,1,NA,2,150,NA,NA,NA,NA,AG,NA
2016-09-01,West Beach,AM/OP,Mussel depth,1,NA,3,120,NA,NA,NA,NA,AG,NA
2016-09-01,West Beach,AM/OP,Mussel depth,1,NA,4,130,NA,NA,NA,NA,AG,NA
2016-09-01,West Beach,AM/OP,Mussel depth,1,NA,5,50,NA,NA,NA,NA,AG,NA
2016-09-01,West Beach,AM/OP,Mussel length,1,NA,NA,NA,40,2,NA,NA,AG,NA
2016-09-01,West Beach,AM/OP,Mussel length,1,NA,NA,NA,50,4,NA,NA,AG,NA
2016-09-01,West Beach,AM/OP,Mussel length,1,NA,NA,NA,60,2,NA,NA,AG,NA
2016-09-01,West Beach,AM/OP,Mussel length,1,NA,NA,NA,70,1,NA,NA,AG,NA
2016-09-01,West Beach,AM/OP,Mussel length,1,NA,NA,NA,110,1,NA,NA,AG,NA
2016-09-01,West Beach,AM/OP,Mussel depth,2,NA,1,80,NA,NA,NA,NA,AG,NA
2016-09-01,West Beach,AM/OP,Mussel depth,2,NA,2,150,NA,NA,NA,NA,AG,NA
2016-09-01,West Beach,AM/OP,Mussel depth,2,NA,3,60,NA,NA,NA,NA,AG,NA
2016-09-01,West Beach,AM/OP,Mussel depth,2,NA,4,110,NA,NA,NA,NA,AG,NA
2016-09-01,West Beach,AM/OP,Mussel depth,2,NA,5,40,NA,NA,NA,NA,AG,NA
2016-09-01,West Beach,AM/OP,Mussel length,2,NA,NA,NA,30,1,NA,NA,AG,NA
2016-09-01,West Beach,AM/OP,Mussel length,2,NA,NA,NA,50,3,NA,NA,AG,NA
2016-09-01,West Beach,AM/OP,Mussel length,2,NA,NA,NA,60,3,NA,NA,AG,NA
2016-09-01,West Beach,AM/OP,Mussel length,2,NA,NA,NA,70,2,NA,NA,AG,NA
2016-09-01,West Beach,AM/OP,Mussel length,2,NA,NA,NA,80,1,NA,NA,AG,NA
2016-09-01,West Beach,AM/OP,Mussel depth,3,NA,1,150,NA,NA,NA,NA,AG,NA
2016-09-01,West Beach,AM/OP,Mussel depth,3,NA,2,40,NA,NA,NA,NA,AG,NA
2016-09-01,West Beach,AM/OP,Mussel depth,3,NA,3,100,NA,NA,NA,NA,AG,NA
2016-09-01,West Beach,AM/OP,Mussel depth,3,NA,4,80,NA,NA,NA,NA,AG,NA
2016-09-01,West Beach,AM/OP,Mussel depth,3,NA,5,150,NA,NA,NA,NA,AG,NA
2016-09-01,West Beach,AM/OP,Mussel length,3,NA,NA,NA,40,1,NA,NA,AG,NA
2016-09-01,West Beach,AM/OP,Mussel length,3,NA,NA,NA,50,2,NA,NA,AG,NA
2016-09-01,West Beach,AM/OP,Mussel length,3,NA,NA,NA,60,2,NA,NA,AG,NA
2016-09-01,West Beach,AM/OP,Mussel length,3,NA,NA,NA,70,2,NA,NA,AG,NA
2016-09-01,West Beach,AM/OP,Mussel length,3,NA,NA,NA,80,3,NA,NA,AG,NA
2016-09-01,West Beach,AM/OP,Mussel depth,4,NA,1,120,NA,NA,NA,NA,AG,NA
2016-09-01,West Beach,AM/OP,Mussel depth,4,NA,2,90,NA,NA,NA,NA,AG,NA
2016-09-01,West Beach,AM/OP,Mussel depth,4,NA,3,110,NA,NA,NA,NA,AG,NA
2016-09-01,West Beach,AM/OP,Mussel depth,4,NA,4,130,NA,NA,NA,NA,AG,NA
2016-09-01,West Beach,AM/OP,Mussel depth,4,NA,5,150,NA,NA,NA,NA,AG,NA
2016-09-01,West Beach,AM/OP,Mussel length,4,NA,NA,NA,40,3,NA,NA,AG,NA
2016-09-01,West Beach,AM/OP,Mussel length,4,NA,NA,NA,60,3,NA,NA,AG,NA
2016-09-01,West Beach,AM/OP,Mussel length,4,NA,NA,NA,80,1,NA,NA,AG,NA
2016-09-01,West Beach,AM/OP,Mussel length,4,NA,NA,NA,90,2,NA,NA,AG,NA
2016-09-01,West Beach,AM/OP,Mussel length,4,NA,NA,NA,100,1,NA,NA,AG,NA
2016-09-01,West Beach,AM/OP,Mussel depth,5,NA,1,60,NA,NA,NA,NA,AG,NA
2016-09-01,West Beach,AM/OP,Mussel depth,5,NA,2,70,NA,NA,NA,NA,AG,NA
2016-09-01,West Beach,AM/OP,Mussel depth,5,NA,3,100,NA,NA,NA,NA,AG,NA
2016-09-01,West Beach,AM/OP,Mussel depth,5,NA,4,70,NA,NA,NA,NA,AG,NA
2016-09-01,West Beach,AM/OP,Mussel depth,5,NA,5,30,NA,NA,NA,NA,AG,NA
2016-09-01,West Beach,AM/OP,Mussel length,5,NA,NA,NA,30,1,NA,NA,AG,NA
2016-09-01,West Beach,AM/OP,Mussel length,5,NA,NA,NA,50,4,NA,NA,AG,NA
2016-09-01,West Beach,AM/OP,Mussel length,5,NA,NA,NA,60,1,NA,NA,AG,NA
2016-09-01,West Beach,AM/OP,Mussel length,5,NA,NA,NA,70,4,NA,NA,AG,NA
2016-09-02,Fifth Beach,AM/AM,Mussel depth,1,NA,1,40,NA,NA,NA,NA,AG,NA
2016-09-02,Fifth Beach,AM/AM,Mussel depth,1,NA,2,50,NA,NA,NA,NA,AG,NA
2016-09-02,Fifth Beach,AM/AM,Mussel depth,1,NA,3,100,NA,NA,NA,NA,AG,NA
2016-09-02,Fifth Beach,AM/AM,Mussel depth,1,NA,4,80,NA,NA,NA,NA,AG,NA
2016-09-02,Fifth Beach,AM/AM,Mussel depth,1,NA,5,90,NA,NA,NA,NA,AG,NA
2016-09-02,Fifth Beach,AM/AM,Mussel length,1,NA,NA,NA,30,1,NA,NA,AG,NA
2016-09-02,Fifth Beach,AM/AM,Mussel length,1,NA,NA,NA,40,1,NA,NA,AG,NA
2016-09-02,Fifth Beach,AM/AM,Mussel length,1,NA,NA,NA,50,2,NA,NA,AG,NA
2016-09-02,Fifth Beach,AM/AM,Mussel length,1,NA,NA,NA,60,2,NA,NA,AG,NA
2016-09-02,Fifth Beach,AM/AM,Mussel length,1,NA,NA,NA,70,1,NA,NA,AG,NA
2016-09-02,Fifth Beach,AM/AM,Mussel length,1,NA,NA,NA,80,1,NA,NA,AG,NA
2016-09-02,Fifth Beach,AM/AM,Mussel length,1,NA,NA,NA,90,2,NA,NA,AG,NA
2016-09-02,Fifth Beach,AM/AM,Mussel depth,2,NA,1,110,NA,NA,NA,NA,AG,NA
2016-09-02,Fifth Beach,AM/AM,Mussel depth,2,NA,2,50,NA,NA,NA,NA,AG,NA
2016-09-02,Fifth Beach,AM/AM,Mussel depth,2,NA,3,80,NA,NA,NA,NA,AG,NA
2016-09-02,Fifth Beach,AM/AM,Mussel depth,2,NA,4,150,NA,NA,NA,NA,AG,NA
2016-09-02,Fifth Beach,AM/AM,Mussel depth,2,NA,5,60,NA,NA,NA,NA,AG,NA
2016-09-02,Fifth Beach,AM/AM,Mussel length,2,NA,NA,NA,20,1,NA,NA,AG,NA
2016-09-02,Fifth Beach,AM/AM,Mussel length,2,NA,NA,NA,40,2,NA,NA,AG,NA
2016-09-02,Fifth Beach,AM/AM,Mussel length,2,NA,NA,NA,50,4,NA,NA,AG,NA
2016-09-02,Fifth Beach,AM/AM,Mussel length,2,NA,NA,NA,60,1,NA,NA,AG,NA
2016-09-02,Fifth Beach,AM/AM,Mussel length,2,NA,NA,NA,70,1,NA,NA,AG,NA
2016-09-02,Fifth Beach,AM/AM,Mussel length,2,NA,NA,NA,80,1,NA,NA,AG,NA
2016-09-02,Fifth Beach,AM/AM,Mussel depth,3,NA,1,150,NA,NA,NA,NA,AG,NA
2016-09-02,Fifth Beach,AM/AM,Mussel depth,3,NA,2,120,NA,NA,NA,NA,AG,NA
2016-09-02,Fifth Beach,AM/AM,Mussel depth,3,NA,3,90,NA,NA,NA,NA,AG,NA
2016-09-02,Fifth Beach,AM/AM,Mussel depth,3,NA,4,30,NA,NA,NA,NA,AG,NA
2016-09-02,Fifth Beach,AM/AM,Mussel depth,3,NA,5,120,NA,NA,NA,NA,AG,NA
2016-09-02,Fifth Beach,AM/AM,Mussel length,3,NA,NA,NA,30,2,NA,NA,AG,NA
2016-09-02,Fifth Beach,AM/AM,Mussel length,3,NA,NA,NA,40,3,NA,NA,AG,NA
2016-09-02,Fifth Beach,AM/AM,Mussel length,3,NA,NA,NA,50,1,NA,NA,AG,NA
2016-09-02,Fifth Beach,AM/AM,Mussel length,3,NA,NA,NA,60,3,NA,NA,AG,NA
2016-09-02,Fifth Beach,AM/AM,Mussel length,3,NA,NA,NA,70,1,NA,NA,AG,NA
2016-09-02,Fifth Beach,AM/AM,Mussel depth,4,NA,1,110,NA,NA,NA,NA,AG,NA
2016-09-02,Fifth Beach,AM/AM,Mussel depth,4,NA,2,80,NA,NA,NA,NA,AG,NA
2016-09-02,Fifth Beach,AM/AM,Mussel depth,4,NA,3,60,NA,NA,NA,NA,AG,NA
2016-09-02,Fifth Beach,AM/AM,Mussel depth,4,NA,4,70,NA,NA,NA,NA,AG,NA
2016-09-02,Fifth Beach,AM/AM,Mussel depth,4,NA,5,90,NA,NA,NA,NA,AG,NA
2016-09-02,Fifth Beach,AM/AM,Mussel length,4,NA,NA,NA,40,5,NA,NA,AG,NA
2016-09-02,Fifth Beach,AM/AM,Mussel length,4,NA,NA,NA,50,2,NA,NA,AG,NA
2016-09-02,Fifth Beach,AM/AM,Mussel length,4,NA,NA,NA,60,2,NA,NA,AG,NA
2016-09-02,Fifth Beach,AM/AM,Mussel length,4,NA,NA,NA,70,1,NA,NA,AG,NA
2016-09-02,Fifth Beach,AM/AM,Mussel depth,5,NA,1,80,NA,NA,NA,NA,AG,*Umarked as bolt is too deep in mussels to mark
2016-09-02,Fifth Beach,AM/AM,Mussel depth,5,NA,2,60,NA,NA,NA,NA,AG,NA
2016-09-02,Fifth Beach,AM/AM,Mussel depth,5,NA,3,40,NA,NA,NA,NA,AG,NA
2016-09-02,Fifth Beach,AM/AM,Mussel depth,5,NA,4,30,NA,NA,NA,NA,AG,NA
2016-09-02,Fifth Beach,AM/AM,Mussel depth,5,NA,5,70,NA,NA,NA,NA,AG,NA
2016-09-02,Fifth Beach,AM/AM,Mussel length,5,NA,NA,NA,20,2,NA,NA,AG,NA
2016-09-02,Fifth Beach,AM/AM,Mussel length,5,NA,NA,NA,30,2,NA,NA,AG,NA
2016-09-02,Fifth Beach,AM/AM,Mussel length,5,NA,NA,NA,40,3,NA,NA,AG,NA
2016-09-02,Fifth Beach,AM/AM,Mussel length,5,NA,NA,NA,50,2,NA,NA,AG,NA
2016-09-02,Fifth Beach,AM/AM,Mussel length,5,NA,NA,NA,70,1,NA,NA,AG,NA
2016-09-14,West Beach,AM/KH,Mussel depth,1,NA,1,70,NA,NA,NA,NA,AG,NA
2016-09-14,West Beach,AM/KH,Mussel depth,1,NA,2,100,NA,NA,NA,NA,AG,NA
2016-09-14,West Beach,AM/KH,Mussel depth,1,NA,3,140,NA,NA,NA,NA,AG,NA
2016-09-14,West Beach,AM/KH,Mussel depth,1,NA,4,80,NA,NA,NA,NA,AG,NA
2016-09-14,West Beach,AM/KH,Mussel depth,1,NA,5,70,NA,NA,NA,NA,AG,NA
2016-09-14,West Beach,AM/KH,Mussel length,1,NA,NA,NA,20,1,NA,NA,AG,NA
2016-09-14,West Beach,AM/KH,Mussel length,1,NA,NA,NA,40,3,NA,NA,AG,NA
2016-09-14,West Beach,AM/KH,Mussel length,1,NA,NA,NA,50,4,NA,NA,AG,NA
2016-09-14,West Beach,AM/KH,Mussel length,1,NA,NA,NA,60,2,NA,NA,AG,NA
2016-09-14,West Beach,AM/KH,Mussel depth,2,NA,1,100,NA,NA,NA,NA,AG,NA
2016-09-14,West Beach,AM/KH,Mussel depth,2,NA,2,120,NA,NA,NA,NA,AG,NA
2016-09-14,West Beach,AM/KH,Mussel depth,2,NA,3,40,NA,NA,NA,NA,AG,NA
2016-09-14,West Beach,AM/KH,Mussel depth,2,NA,4,150,NA,NA,NA,NA,AG,NA
2016-09-14,West Beach,AM/KH,Mussel depth,2,NA,5,110,NA,NA,NA,NA,AG,NA
2016-09-14,West Beach,AM/KH,Mussel length,2,NA,NA,NA,30,2,NA,NA,AG,NA
2016-09-14,West Beach,AM/KH,Mussel length,2,NA,NA,NA,50,2,NA,NA,AG,NA
2016-09-14,West Beach,AM/KH,Mussel length,2,NA,NA,NA,60,2,NA,NA,AG,NA
2016-09-14,West Beach,AM/KH,Mussel length,2,NA,NA,NA,70,2,NA,NA,AG,NA
2016-09-14,West Beach,AM/KH,Mussel length,2,NA,NA,NA,90,1,NA,NA,AG,NA
2016-09-14,West Beach,AM/KH,Mussel length,2,NA,NA,NA,100,1,NA,NA,AG,NA
2016-09-14,West Beach,AM/KH,Mussel depth,3,NA,1,150,NA,NA,NA,NA,AG,NA
2016-09-14,West Beach,AM/KH,Mussel depth,3,NA,2,70,NA,NA,NA,NA,AG,NA
2016-09-14,West Beach,AM/KH,Mussel depth,3,NA,3,100,NA,NA,NA,NA,AG,NA
2016-09-14,West Beach,AM/KH,Mussel depth,3,NA,4,100,NA,NA,NA,NA,AG,NA
2016-09-14,West Beach,AM/KH,Mussel depth,3,NA,5,80,NA,NA,NA,NA,AG,NA
2016-09-14,West Beach,AM/KH,Mussel length,3,NA,NA,NA,50,3,NA,NA,AG,NA
2016-09-14,West Beach,AM/KH,Mussel length,3,NA,NA,NA,60,3,NA,NA,AG,NA
2016-09-14,West Beach,AM/KH,Mussel length,3,NA,NA,NA,70,1,NA,NA,AG,NA
2016-09-14,West Beach,AM/KH,Mussel length,3,NA,NA,NA,80,2,1,NA,AG,NA
2016-09-14,West Beach,AM/KH,Mussel length,3,NA,NA,NA,100,1,NA,NA,AG,NA
2016-09-14,West Beach,AM/KH,Mussel depth,4,NA,1,150,NA,NA,NA,NA,AG,NA
2016-09-14,West Beach,AM/KH,Mussel depth,4,NA,2,150,NA,NA,NA,NA,AG,NA
2016-09-14,West Beach,AM/KH,Mussel depth,4,NA,3,150,NA,NA,NA,NA,AG,NA
2016-09-14,West Beach,AM/KH,Mussel depth,4,NA,4,140,NA,NA,NA,NA,AG,NA
2016-09-14,West Beach,AM/KH,Mussel depth,4,NA,5,110,NA,NA,NA,NA,AG,NA
2016-09-14,West Beach,AM/KH,Mussel length,4,NA,NA,NA,40,1,NA,NA,AG,NA
2016-09-14,West Beach,AM/KH,Mussel length,4,NA,NA,NA,50,3,NA,NA,AG,NA
2016-09-14,West Beach,AM/KH,Mussel length,4,NA,NA,NA,60,1,NA,NA,AG,NA
2016-09-14,West Beach,AM/KH,Mussel length,4,NA,NA,NA,70,3,NA,NA,AG,NA
2016-09-14,West Beach,AM/KH,Mussel length,4,NA,NA,NA,80,2,NA,NA,AG,NA
2016-09-14,West Beach,AM/KH,Mussel depth,5,NA,1,70,NA,NA,NA,NA,AG,NA
2016-09-14,West Beach,AM/KH,Mussel depth,5,NA,2,120,NA,NA,NA,NA,AG,NA
2016-09-14,West Beach,AM/KH,Mussel depth,5,NA,3,50,NA,NA,NA,NA,AG,NA
2016-09-14,West Beach,AM/KH,Mussel depth,5,NA,4,90,NA,NA,NA,NA,AG,NA
2016-09-14,West Beach,AM/KH,Mussel depth,5,NA,5,130,NA,NA,NA,NA,AG,NA
2016-09-14,West Beach,AM/KH,Mussel length,5,NA,NA,NA,30,2,NA,NA,AG,NA
2016-09-14,West Beach,AM/KH,Mussel length,5,NA,NA,NA,40,1,NA,NA,AG,NA
2016-09-14,West Beach,AM/KH,Mussel length,5,NA,NA,NA,50,2,NA,NA,AG,NA
2016-09-14,West Beach,AM/KH,Mussel length,5,NA,NA,NA,60,2,NA,NA,AG,NA
2016-09-14,West Beach,AM/KH,Mussel length,5,NA,NA,NA,80,1,NA,NA,AG,NA
2016-09-14,West Beach,AM/KH,Mussel length,5,NA,NA,NA,90,2,NA,NA,AG,NA
2016-09-15,North Beach,AM/KH,Mussel length,1,NA,NA,NA,20,2,NA,NA,AG,NA
2016-09-15,North Beach,AM/KH,Mussel length,1,NA,NA,NA,30,2,NA,NA,AG,NA
2016-09-15,North Beach,AM/KH,Mussel length,1,NA,NA,NA,40,2,NA,NA,AG,NA
2016-09-15,North Beach,AM/KH,Mussel length,1,NA,NA,NA,50,2,NA,NA,AG,NA
2016-09-15,North Beach,AM/KH,Mussel length,1,NA,NA,NA,60,2,NA,NA,AG,NA
2016-09-15,North Beach,AM/KH,Mussel depth,1,NA,1,60,NA,NA,NA,NA,AG,NA
2016-09-15,North Beach,AM/KH,Mussel depth,1,NA,2,50,NA,NA,NA,NA,AG,NA
2016-09-15,North Beach,AM/KH,Mussel depth,1,NA,3,60,NA,NA,NA,NA,AG,NA
2016-09-15,North Beach,AM/KH,Mussel depth,1,NA,4,50,NA,NA,NA,NA,AG,NA
2016-09-15,North Beach,AM/KH,Mussel depth,1,NA,5,40,NA,NA,NA,NA,AG,NA
2016-09-15,North Beach,AM/KH,Mussel length,2,NA,NA,NA,40,1,NA,NA,AG,NA
2016-09-15,North Beach,AM/KH,Mussel length,2,NA,NA,NA,60,4,NA,NA,AG,NA
2016-09-15,North Beach,AM/KH,Mussel length,2,NA,NA,NA,70,4,NA,NA,AG,NA
2016-09-15,North Beach,AM/KH,Mussel length,2,NA,NA,NA,80,1,NA,NA,AG,NA
2016-09-15,North Beach,AM/KH,Mussel depth,2,NA,1,80,NA,NA,NA,NA,AG,NA
2016-09-15,North Beach,AM/KH,Mussel depth,2,NA,2,120,NA,NA,NA,NA,AG,NA
2016-09-15,North Beach,AM/KH,Mussel depth,2,NA,3,150,NA,NA,NA,NA,AG,NA
